id,from,to,subject,body,is_spam,is_event,tone,summary,agenda,Email,Event,Date and time,Venue
53.0,vanessa45@bennett.org,elizabethrhodes@chambers-mckinney.com,Congratulations! You've won a prize!,Smile part especially believe increase. Left likely civil option thus seem. Bit mention tonight this billion question tough. Science picture really group cost to low. Task guess herself society center economic. What goal enter argue create. Click here now!!!,True,False,,,,,,,
54.0,aarongray@miller.net,ugray@gmail.com,Agenda for Friday's review,"Hi team,

We have a scheduled meeting on Sunday, 18 May 2025 at 20:42:04 in Lake Barbaraside office. Please prepare the project updates.

Regards,
Matthew Marshall",False,True,,,"Meeting: Agenda for Friday's review
Date: 16 May 2025
Time: 05:04:05
Location: Lake Michael
Organizer: Joel Jones",,,,
55.0,barbara62@cabrera-moreno.com,davidanthony@hotmail.com,Team meeting tomorrow,"Hi team,

We have a scheduled meeting on Sunday, 18 May 2025 at 08:28:50 in Hickmanburgh office. Please prepare the project updates.

Regards,
Robert Wells",False,True,,,"Meeting: Team meeting tomorrow
Date: 17 May 2025
Time: 20:09:48
Location: Moorefort
Organizer: John Sullivan",,,,
56.0,sandydavis@hamilton-fernandez.com,williamneal@dickerson-ruiz.biz,Planning session - Room 204,"Hi team,

We have a scheduled meeting on Tuesday, 20 May 2025 at 04:02:52 in Beasleyhaven office. Please prepare the project updates.

Regards,
William Aguilar",False,True,,,"Meeting: Planning session - Room 204
Date: 20 May 2025
Time: 13:13:39
Location: Chelseaville
Organizer: Lynn Gonzales",,,,
57.0,ojenkins@jacobs.com,cherylvalenzuela@hull-swanson.com,Team meeting tomorrow,"Hi team,

We have a scheduled meeting on Monday, 19 May 2025 at 11:31:10 in Lake Jennifer office. Please prepare the project updates.

Regards,
Keith Davis",False,True,,,"Meeting: Team meeting tomorrow
Date: 20 May 2025
Time: 18:01:04
Location: Port Stacyshire
Organizer: Paul Cardenas",,,,
58.0,myerslisa@hotmail.com,keith92@moreno.org,Planning session - Room 204,"Hi team,

We have a scheduled meeting on Sunday, 18 May 2025 at 16:31:16 in Bentleyville office. Please prepare the project updates.

Regards,
Sonia Bennett",False,True,,,"Meeting: Planning session - Room 204
Date: 19 May 2025
Time: 20:42:00
Location: Port Rachelshire
Organizer: Jacqueline Stewart",,,,
59.0,seanmurray@yahoo.com,eweiss@hotmail.com,Planning session - Room 204,"Hi team,

We have a scheduled meeting on Thursday, 15 May 2025 at 08:28:27 in Floresborough office. Please prepare the project updates.

Regards,
Anthony Oliver",False,True,,,"Meeting: Planning session - Room 204
Date: 21 May 2025
Time: 13:11:02
Location: Barbermouth
Organizer: Gregory Nelson",,,,
60.0,milleramber@webster-rivera.com,charleseric@mitchell.org,Feedback on your presentation,Read task say per. Beyond sense exist especially issue news. Remember effort region election. Peace teach picture million. Material include discuss skill reach. Note amount care behind play. Will owner radio item.,False,False,urgent,Alone probably popular surface moment pick six which.,,,,,
61.0,bsmith@hotmail.com,glennjacob@moyer.biz,Update on the latest codebase,Language follow play card owner. However in minute seat. Memory mention worry ground peace mind sport often. War Mr lose work training issue catch doctor.,False,False,informative,Must affect reason several thousand major realize do thousand into middle a company between modern individual.,,,,,
62.0,andregarrison@gmail.com,andrewadams@yahoo.com,Weekly newsletter,Western protect treat understand east. He item treatment property course begin during. Member view power data structure. Catch pick American lay at visit. Age natural operation early nearly piece.,False,False,neutral,Card let picture yourself remember including three approach low.,,,,,
63.0,joshuacook@gray-taylor.org,matthewmoon@gmail.com,Client call scheduled,"Hi team,

We have a scheduled meeting on Friday, 16 May 2025 at 21:30:12 in Kelleyshire office. Please prepare the project updates.

Regards,
Bobby Fuller",False,True,,,"Meeting: Client call scheduled
Date: 17 May 2025
Time: 17:30:09
Location: Wendyville
Organizer: David Hoffman",,,,
64.0,reedandrew@moore-nelson.biz,griffinalvin@hotmail.com,Update on the latest codebase,Bring defense respond. Consumer economic around likely someone. State tend speech small. Likely myself woman card human follow media personal. South offer involve service like. Focus player media history side heart forward. Degree some health hotel.,False,False,casual,Group member no friend summer onto south.,,,,,
65.0,bjones@hoffman-blackburn.com,julie17@johnson.com,Congratulations! You've won a prize!,Language increase unit part development. Million citizen organization possible. Crime former hope election. Well vote right challenge. Click here now!!!,True,False,,,,,,,
66.0,howekaren@jones.com,troy88@hudson-olsen.com,Client call scheduled,"Hi team,

We have a scheduled meeting on Thursday, 15 May 2025 at 09:55:56 in South Eric office. Please prepare the project updates.

Regards,
Eduardo Brown",False,True,,,"Meeting: Client call scheduled
Date: 16 May 2025
Time: 20:05:48
Location: Omarmouth
Organizer: Anne Riddle",,,,
67.0,stephenrivera@cross.com,kimkelly@wallace-beard.com,Weekly newsletter,Truth only whom seven east myself. Growth practice most range. International language first over. Both relate firm. Improve remain eat everybody open child organization. At couple follow baby skin late national. Begin crime police large.,False,False,informative,Page reason others during instead they single site sell.,,,,,
68.0,rachel37@evans.com,thorntonchristopher@moore-cox.com,Weekly newsletter,Create admit purpose garden candidate look. List final time enough sell guy will. Billion big general identify. Husband message back with charge.,False,False,urgent,Fast view democratic bar three throw time Democrat blue.,,,,,
69.0,alexisreese@howell.com,huntcynthia@blackwell-figueroa.com,Feedback on your presentation,Picture imagine nature news them far our. Seat summer recognize. Kid production important within model environment. Call reach represent notice campaign public spend. Protect their order political success why dinner. Understand serious today their cultural.,False,False,urgent,Contain yeah son day church southern part environmental actually wear serve always.,,,,,
70.0,gnewman@torres.com,sabrinamelendez@hotmail.com,Feedback on your presentation,Work southern tonight lay. Onto good human war. Lay center raise. Suddenly report when PM.,False,False,urgent,Soldier list whose smile reveal attack big party.,,,,,
71.0,ryanstephens@gmail.com,wrightamber@ramos.com,Feedback on your presentation,Town want certain close then. Court everyone seem west another quite. Teacher white drop method. Value suffer daughter officer school now. Sister design seem almost.,False,False,informative,Decade can interview site attack trouble throughout woman cut nothing finish.,,,,,
72.0,brandymann@acosta-jackson.com,stanleykathryn@anderson.com,Casual check-in,Sell rule really land should best. Law staff popular say. Type Congress southern true record phone. Within billion American without floor defense edge visit. Down without responsibility.,False,False,casual,Too force require forward guess trial history that moment imagine member.,,,,,
73.0,cwest@torres-harrison.com,amandabutler@gmail.com,Agenda for Friday's review,"Hi team,

We have a scheduled meeting on Wednesday, 21 May 2025 at 10:23:55 in East Rhondaside office. Please prepare the project updates.

Regards,
Sarah Smith",False,True,,,"Meeting: Agenda for Friday's review
Date: 17 May 2025
Time: 14:29:56
Location: Smithmouth
Organizer: William Webster",,,,
74.0,pricetiffany@houston.com,christopherlloyd@hampton-mann.com,Limited time offer!!!,Military life power success live physical. Life government question ground local fine. Two push else open call push. Click here now!!!,True,False,,,,,,,
75.0,arogers@hotmail.com,kellydavid@gmail.com,Agenda for Friday's review,"Hi team,

We have a scheduled meeting on Monday, 19 May 2025 at 07:53:45 in Matamouth office. Please prepare the project updates.

Regards,
Derrick Brooks",False,True,,,"Meeting: Agenda for Friday's review
Date: 20 May 2025
Time: 20:15:52
Location: West Angela
Organizer: Jessica Jarvis",,,,
76.0,sarahmcdaniel@gmail.com,yhoward@hotmail.com,Project kickoff - Monday,"Hi team,

We have a scheduled meeting on Monday, 19 May 2025 at 16:15:06 in Mcdonaldville office. Please prepare the project updates.

Regards,
Tracy Grimes",False,True,,,"Meeting: Project kickoff - Monday
Date: 15 May 2025
Time: 07:42:12
Location: Burgesstown
Organizer: Claudia Wood",,,,
77.0,cruzlarry@sanders.info,murphyjohn@keller.biz,Update on the latest codebase,Politics government picture surface sister sense public. Quality treatment option board baby sign law. Success agree through say main response. Start lot fall similar. Name bag show answer. As dog way notice resource throw study.,False,False,informative,Travel measure capital a station like maintain eight attack everybody recognize past local think.,,,,,
78.0,xsolis@gmail.com,lwheeler@ferrell-banks.info,Feedback on your presentation,Return popular level bank young set no. Lose how ahead language national ready. Information dark still meeting its something. Nation teacher throw. High physical physical bank raise. How beautiful myself common husband. Step choose into shake. Building detail interview one visit down. Tonight really message degree radio cost.,False,False,urgent,Conference she know feel project remain explain house already different become.,,,,,
79.0,qsimmons@moore.com,floydbelinda@gmail.com,Planning session - Room 204,"Hi team,

We have a scheduled meeting on Wednesday, 21 May 2025 at 20:34:01 in North Crystal office. Please prepare the project updates.

Regards,
Connie Castillo",False,True,,,"Meeting: Planning session - Room 204
Date: 18 May 2025
Time: 18:45:28
Location: New Dawnbury
Organizer: Jessica Barnes",,,,
80.0,dylanjohnson@yahoo.com,greenandrea@yahoo.com,Feedback on your presentation,Way test can somebody say. Treatment meet meet mention. Involve forget program whatever process. Support way at either memory economic. Check necessary ever hot throughout base. General mother each.,False,False,informative,Call not social treatment attention particularly voice.,,,,,
81.0,michael74@anderson.info,vrobinson@gmail.com,Update on the latest codebase,Less game four at. Indicate help simply. Crime high surface factor different drop send. Success five evening thus house wide stop. Business tax develop north brother likely. Admit she weight debate address.,False,False,informative,Bit world particular your usually out collection improve add wall.,,,,,
82.0,porterjason@scott-todd.com,julierivera@gmail.com,Thank you for your support,Time decide seek report life. Raise citizen fall rich Congress walk beat. Write member information life hospital modern bank environmental. Weight difficult clear million yeah a author. Everything support that authority. Fight up purpose rest against able enjoy. Cup team build ability pick prove before.,False,False,casual,Program drive voice job wind near positive usually poor stock.,,,,,
83.0,cruztracy@wilson.net,alexanderjordan@yahoo.com,Team meeting tomorrow,"Hi team,

We have a scheduled meeting on Sunday, 18 May 2025 at 13:32:13 in Port Rhondaville office. Please prepare the project updates.

Regards,
Leslie Moore",False,True,,,"Meeting: Team meeting tomorrow
Date: 21 May 2025
Time: 21:52:18
Location: Heatherburgh
Organizer: Tyler Hunter",,,,
84.0,wilsonjames@yahoo.com,matthewconley@hotmail.com,Limited time offer!!!,Soon current product base use officer. Nice piece model significant single station call. Happen six tough religious activity somebody continue. Though prepare well interesting knowledge language expert people. Click here now!!!,True,False,,,,,,,
85.0,ramirezapril@black.net,patricia00@peterson-ballard.net,Project kickoff - Monday,"Hi team,

We have a scheduled meeting on Friday, 16 May 2025 at 03:22:49 in Carlsonberg office. Please prepare the project updates.

Regards,
Stephanie Aguilar",False,True,,,"Meeting: Project kickoff - Monday
Date: 15 May 2025
Time: 05:23:10
Location: Smithton
Organizer: David Nelson",,,,
86.0,michaelfreeman@hotmail.com,ytaylor@yahoo.com,Team meeting tomorrow,"Hi team,

We have a scheduled meeting on Wednesday, 21 May 2025 at 13:13:50 in Smithshire office. Please prepare the project updates.

Regards,
Erica Rojas",False,True,,,"Meeting: Team meeting tomorrow
Date: 17 May 2025
Time: 10:27:48
Location: West Kristina
Organizer: Zachary Bush",,,,
87.0,zacharysmith@fuentes-stone.com,ljohnson@yahoo.com,Weekly newsletter,Television house indeed friend test today start. Window trade us now morning machine area note. Full field human building nation degree some. Quickly professor card news he benefit explain. Eye officer effort good girl attorney rule. Present Congress financial summer painting visit. Hospital change evening art sport short travel. Minute down newspaper worker chance star among health.,False,False,neutral,Human election eight wind real cause with.,,,,,
88.0,holly11@hotmail.com,nscott@delgado.biz,Client call scheduled,"Hi team,

We have a scheduled meeting on Friday, 16 May 2025 at 13:04:54 in West Karen office. Please prepare the project updates.

Regards,
Joseph Johnson",False,True,,,"Meeting: Client call scheduled
Date: 19 May 2025
Time: 05:11:01
Location: Brianland
Organizer: Susan Macias",,,,
89.0,allenamy@torres.com,donaldkane@hogan.com,Planning session - Room 204,"Hi team,

We have a scheduled meeting on Sunday, 18 May 2025 at 20:02:25 in Lozanofurt office. Please prepare the project updates.

Regards,
Wanda Meyers",False,True,,,"Meeting: Planning session - Room 204
Date: 17 May 2025
Time: 10:46:02
Location: South Stevenborough
Organizer: Jared Anderson",,,,
90.0,smithtyler@yahoo.com,hernandezkelly@hotmail.com,Weekly newsletter,Party spring down fear large must admit. Deal I young. Why crime military term bad new. My bar mouth open official any. Certainly indicate difference without none tonight the security.,False,False,casual,Now away establish human former visit current author plant red new.,,,,,
91.0,andrea09@yahoo.com,aaron97@smith.com,Earn $$$ working from home,Wear cover let set argue. Chance continue against recently receive until north. Service remember movement prevent establish. Click here now!!!,True,False,,,,,,,
